frame,time_sec,id,role,status,danger
10531,351.38,14,darkmechanic,IDLE,0
10532,351.41,14,darkmechanic,IDLE,0
10533,351.44,14,darkmechanic,IDLE,0
10534,351.48,14,darkmechanic,IDLE,0
10535,351.51,14,darkmechanic,IDLE,0
10536,351.54,14,darkmechanic,IDLE,0
10537,351.58,14,darkmechanic,IDLE,0
10538,351.61,14,darkmechanic,IDLE,0
10539,351.64,14,darkmechanic,IDLE,0
10540,351.68,14,darkmechanic,IDLE,0
10541,351.71,14,darkmechanic,IDLE,0
10542,351.74,14,darkmechanic,IDLE,0
10543,351.78,14,darkmechanic,IDLE,0
10544,351.81,14,darkmechanic,IDLE,0
10545,351.84,14,darkmechanic,IDLE,0
10546,351.88,14,darkmechanic,IDLE,0
10547,351.91,14,darkmechanic,IDLE,0
10548,351.94,14,darkmechanic,IDLE,0
10549,351.98,14,darkmechanic,IDLE,0
10550,352.01,14,darkmechanic,IDLE,0
10551,352.04,14,darkmechanic,IDLE,0
10552,352.08,14,darkmechanic,IDLE,0
10553,352.11,14,darkmechanic,IDLE,0
10554,352.14,14,darkmechanic,IDLE,0
10555,352.18,14,darkmechanic,IDLE,0
10556,352.21,14,darkmechanic,IDLE,0
10557,352.24,14,darkmechanic,IDLE,0
10558,352.28,14,darkmechanic,IDLE,0
10559,352.31,14,darkmechanic,IDLE,0
10560,352.34,14,darkmechanic,IDLE,0
10561,352.38,14,darkmechanic,IDLE,0
10562,352.41,14,darkmechanic,IDLE,0
10563,352.45,14,darkmechanic,IDLE,0
10564,352.48,14,darkmechanic,IDLE,0
10565,352.51,14,darkmechanic,IDLE,0
10566,352.55,14,darkmechanic,IDLE,0
10567,352.58,14,darkmechanic,IDLE,0
10568,352.61,14,darkmechanic,IDLE,0
10569,352.65,14,darkmechanic,IDLE,0
10570,352.68,14,darkmechanic,IDLE,0
10571,352.71,14,darkmechanic,IDLE,0
10572,352.75,14,darkmechanic,IDLE,0
10573,352.78,14,darkmechanic,IDLE,0
10574,352.81,14,darkmechanic,IDLE,0
10575,352.85,14,darkmechanic,IDLE,0
10576,352.88,14,darkmechanic,IDLE,0
10577,352.91,14,darkmechanic,IDLE,0
10578,352.95,14,darkmechanic,IDLE,0
10579,352.98,14,darkmechanic,IDLE,0
10580,353.01,14,darkmechanic,IDLE,0
10581,353.05,14,darkmechanic,IDLE,0
10582,353.08,14,darkmechanic,IDLE,0
10583,353.11,14,darkmechanic,IDLE,0
10584,353.15,14,darkmechanic,IDLE,0
10585,353.18,14,darkmechanic,IDLE,0
10586,353.21,14,darkmechanic,IDLE,0
10587,353.25,14,darkmechanic,IDLE,0
10588,353.28,14,darkmechanic,IDLE,0
10589,353.31,14,darkmechanic,IDLE,0
10590,353.35,14,darkmechanic,IDLE,0
10591,353.38,14,darkmechanic,IDLE,0
10592,353.41,14,darkmechanic,IDLE,0
10593,353.45,14,darkmechanic,IDLE,0
10594,353.48,14,darkmechanic,IDLE,0
10595,353.51,14,darkmechanic,IDLE,0
10596,353.55,14,darkmechanic,IDLE,0
10597,353.58,14,darkmechanic,IDLE,0
10598,353.61,14,darkmechanic,IDLE,0
10599,353.65,14,darkmechanic,IDLE,0
10600,353.68,14,darkmechanic,IDLE,0
10601,353.71,14,darkmechanic,IDLE,0
10602,353.75,14,darkmechanic,IDLE,0
10603,353.78,14,darkmechanic,IDLE,0
10604,353.81,14,darkmechanic,IDLE,0
10605,353.85,14,darkmechanic,IDLE,0
10606,353.88,14,darkmechanic,IDLE,0
10607,353.91,14,darkmechanic,IDLE,0
10608,353.95,14,darkmechanic,IDLE,0
10609,353.98,14,darkmechanic,IDLE,0
10610,354.01,14,darkmechanic,IDLE,0
10611,354.05,14,darkmechanic,IDLE,0
10612,354.08,14,darkmechanic,IDLE,0
10613,354.11,14,darkmechanic,IDLE,0
10614,354.15,14,darkmechanic,IDLE,0
10615,354.18,14,darkmechanic,IDLE,0
10616,354.21,14,darkmechanic,IDLE,0
10617,354.25,14,darkmechanic,IDLE,0
10618,354.28,14,darkmechanic,IDLE,0
10619,354.31,14,darkmechanic,IDLE,0
10620,354.35,14,darkmechanic,IDLE,0
10621,354.38,14,darkmechanic,IDLE,0
10622,354.41,14,darkmechanic,IDLE,0
10623,354.45,14,darkmechanic,IDLE,0
10624,354.48,14,darkmechanic,IDLE,0
10625,354.51,14,darkmechanic,IDLE,0
10626,354.55,14,darkmechanic,IDLE,0
10627,354.58,14,darkmechanic,IDLE,0
10628,354.61,14,darkmechanic,IDLE,0
10629,354.65,14,darkmechanic,IDLE,0
10630,354.68,14,darkmechanic,IDLE,0
10631,354.71,14,darkmechanic,IDLE,0
10632,354.75,14,darkmechanic,IDLE,0
10633,354.78,14,darkmechanic,IDLE,0
10634,354.81,14,darkmechanic,IDLE,0
10635,354.85,14,darkmechanic,IDLE,0
10636,354.88,14,darkmechanic,IDLE,0
10637,354.91,14,darkmechanic,IDLE,0
10638,354.95,14,darkmechanic,IDLE,0
10639,354.98,14,darkmechanic,IDLE,0
10640,355.01,14,darkmechanic,IDLE,0
10641,355.05,14,darkmechanic,IDLE,0
10642,355.08,14,darkmechanic,IDLE,0
10643,355.11,14,darkmechanic,IDLE,0
10644,355.15,14,darkmechanic,IDLE,0
10645,355.18,14,darkmechanic,IDLE,0
10646,355.21,14,darkmechanic,IDLE,0
10647,355.25,14,darkmechanic,IDLE,0
10648,355.28,14,darkmechanic,IDLE,0
10649,355.31,14,darkmechanic,IDLE,0
10650,355.35,14,darkmechanic,IDLE,0
10651,355.38,14,darkmechanic,IDLE,0
10652,355.41,14,darkmechanic,IDLE,0
10653,355.45,14,darkmechanic,IDLE,0
10654,355.48,14,darkmechanic,IDLE,0
10655,355.51,14,darkmechanic,IDLE,0
10656,355.55,14,darkmechanic,WORKING,0
10657,355.58,14,darkmechanic,IDLE,0
10658,355.61,14,darkmechanic,IDLE,0
10659,355.65,14,darkmechanic,WORKING,0
10660,355.68,14,darkmechanic,WORKING,0
10661,355.71,14,darkmechanic,WORKING,0
10662,355.75,14,darkmechanic,WORKING,0
10663,355.78,14,darkmechanic,IDLE,0
10664,355.81,14,darkmechanic,IDLE,0
10665,355.85,14,darkmechanic,IDLE,0
10666,355.88,14,darkmechanic,IDLE,0
10667,355.92,14,darkmechanic,IDLE,0
10668,355.95,14,darkmechanic,IDLE,0
10669,355.98,14,darkmechanic,IDLE,0
10670,356.02,14,darkmechanic,IDLE,0
10671,356.05,14,darkmechanic,IDLE,0
10672,356.08,14,darkmechanic,IDLE,0
10673,356.12,14,darkmechanic,IDLE,0
10674,356.15,14,darkmechanic,IDLE,0
10675,356.18,14,darkmechanic,IDLE,0
10676,356.22,14,darkmechanic,IDLE,0
10677,356.25,14,darkmechanic,IDLE,0
10678,356.28,14,darkmechanic,IDLE,0
10679,356.32,14,darkmechanic,IDLE,0
10680,356.35,14,darkmechanic,IDLE,0
10681,356.38,14,darkmechanic,IDLE,0
10682,356.42,14,darkmechanic,IDLE,0
10683,356.45,14,darkmechanic,IDLE,0
